sequence	bank	text_id	kind	source_location	packed_bytes	japanese_exact	japanese_readable	mechanical_romaji	normalized_japanese_aid	current_english_exact	current_english_readable	source_controls	english_controls	control_match	script_profile	voice_dialect_register	orthography_kanji_katakana	comparison_flags	review_priority	proposed_retranslation	reviewer_notes
765	TT4	TT4/g4/r27	scenario	group 4 @ 0xBEB5; record 27	group-compressed	おとこ「おうじ／ きこえますか このすずのねが／{CTRL:0} おうじ／ へんじをしてください／／」{CTRL:2}にくらす「おうじ……！」{CTRL:6}おとこ「このかたは まけどにあの おうじ{CTRL:4} あれくさんだーさまなんです／」	おとこ「おうじ／ きこえますか このすずのねが／ ⟦CTRL:0⟧  おうじ／ へんじをしてください／／」 ⟦CTRL:2⟧ にくらす「おうじ……！」 ⟦CTRL:6⟧ おとこ「このかたは まけどにあの おうじ ⟦CTRL:4⟧  あれくさんだーさまなんです／」	otoko「ouji／ kikoemasuka konosuzunonega／ /  ouji／ henjioshitekudasai／／」 / nikurasu「ouji……！」 / otoko「konokataha makedoniano ouji /  arekusandaasamanandesu／」	おとこ「おうじ／ きこえますか このすずのねが／ おうじ／ へんじをしてください／／」にくらす「おうじ……！」おとこ「このかたは まけどにあの おうじ あれくさんだーさまなんです／」	Man: Prince, can you{CTRL:0}hear the bell? Answer!{CTRL:2}Nicras: Prince...!{CTRL:6}Man: This is Alexander,{CTRL:4}prince of Macedonia!	Man: Prince, can you ⟦CTRL:0⟧ hear the bell? Answer! ⟦CTRL:2⟧ Nicras: Prince...! ⟦CTRL:6⟧ Man: This is Alexander, ⟦CTRL:4⟧ prince of Macedonia!	0,2,6,4	0,2,6,4	yes	hiragana:68; katakana:1; kanji:0; Latin:0; digits:0		おとこ → 男	ellipsis carries timing/hesitation tone	low		
766	TT4	TT4/g4/r28	scenario	group 4 @ 0xBEB5; record 28	group-compressed	おとこ「いきかえったぞ／ ばんざーい／／」{CTRL:1}にくらす「しんじられん…… かみのきせきだ……」	おとこ「いきかえったぞ／ ばんざーい／／」 ⟦CTRL:1⟧ にくらす「しんじられん…… かみのきせきだ……」	otoko「ikikaettazo／ banzaai／／」 / nikurasu「shinjiraren…… kaminokisekida……」	おとこ「いきかえったぞ／ ばんざーい／／」にくらす「しんじられん…… かみのきせきだ……」	Man: He lives! Hooray!!{CTRL:1}Nicras: A god's miracle!	Man: He lives! Hooray!! ⟦CTRL:1⟧ Nicras: A god's miracle!	1	1	yes	hiragana:31; katakana:1; kanji:0; Latin:0; digits:0		きせき → 奇跡 | おとこ → 男 | かみ → 神/紙/髪	ellipsis carries timing/hesitation tone	medium		
767	TT4	TT4/g4/r29	scenario	group 4 @ 0xBEB5; record 29	group-compressed	なみは おだやかだ	なみは おだやかだ	namiha odayakada	なみは おだやかだ	The waves are calm.	The waves are calm.			yes	hiragana:8; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
768	TT4	TT4/g4/r30	scenario	group 4 @ 0xBEB5; record 30	group-compressed	めがきょろきょろして おちつきがない	めがきょろきょろして おちつきがない	megakyorokyoroshite ochitsukiganai	めがきょろきょろして おちつきがない	His eyes dart nervously.	His eyes dart nervously.			yes	hiragana:17; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
769	TT4	TT4/g4/r31	scenario	group 4 @ 0xBEB5; record 31	group-compressed	「うみのまもりがみ・ぽせいどん」	「うみのまもりがみ・ぽせいどん」	「uminomamorigami・poseidon」	「うみのまもりがみ・ぽせいどん」	Poseidon, sea guardian	Poseidon, sea guardian			yes	hiragana:13; katakana:1; kanji:0; Latin:0; digits:0		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
770	TT4	TT4/g5/r0	scenario	group 5 @ 0xC280; record 0	group-compressed	もう ておくれだ{CTRL:1}しんぞうがとまり どうこうも ひらいている……{CTRL:2}おとこ「ぼっちゃまーーっ／／」	もう ておくれだ ⟦CTRL:1⟧ しんぞうがとまり どうこうも ひらいている…… ⟦CTRL:2⟧ おとこ「ぼっちゃまーーっ／／」	mou teokureda / shinzougatomari doukoumo hiraiteiru…… / otoko「botchamaaa／／」	もう ておくれだしんぞうがとまり どうこうも ひらいている……おとこ「ぼっちゃまーーっ／／」	It is too late.{CTRL:1}No pulse. Pupils wide...{CTRL:2}Man: Young master!!	It is too late. ⟦CTRL:1⟧ No pulse. Pupils wide... ⟦CTRL:2⟧ Man: Young master!!	1,2	1,2	yes	hiragana:35; katakana:2; kanji:0; Latin:0; digits:0		おとこ → 男	ellipsis carries timing/hesitation tone	low		
771	TT4	TT4/g5/r1	scenario	group 5 @ 0xC280; record 1	group-compressed	……「そのこを しなせてはいけません……」{CTRL:1}おれ「！ だれだ！」{CTRL:0}{CTRL:6}……「そのこは かみのめいをうけた{CTRL:4} とくべつな こどもなのです{CTRL:3} あなたのちからで たすけてあげてください……」	……「そのこを しなせてはいけません……」 ⟦CTRL:1⟧ おれ「！ だれだ！」 ⟦CTRL:0⟧  ⟦CTRL:6⟧ ……「そのこは かみのめいをうけた ⟦CTRL:4⟧  とくべつな こどもなのです ⟦CTRL:3⟧  あなたのちからで たすけてあげてください……」	……「sonokoo shinasetehaikemasen……」 / ore「！ dareda！」 /  / ……「sonokoha kaminomeiouketa /  tokubetsuna kodomonanodesu /  anatanochikarade tasuketeagetekudasai……」	……「そのこを しなせてはいけません……」おれ「！ だれだ！」……「そのこは かみのめいをうけた とくべつな こどもなのです あなたのちからで たすけてあげてください……」	Voice: Don't let him die{CTRL:1}Me: Who is there?!{CTRL:0}{CTRL:6}Voice: God chose him.{CTRL:4}for a sacred task.{CTRL:3}Use your gift. Save him.	Voice: Don't let him die ⟦CTRL:1⟧ Me: Who is there?! ⟦CTRL:0⟧  ⟦CTRL:6⟧ Voice: God chose him. ⟦CTRL:4⟧ for a sacred task. ⟦CTRL:3⟧ Use your gift. Save him.	1,0,6,4,3	1,0,6,4,3	yes	hiragana:63; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	おれ: plain-to-rough masculine first person	こども → 子供 | かみ → 神/紙/髪	ellipsis carries timing/hesitation tone	medium		
772	TT4	TT4/g5/r2	scenario	group 5 @ 0xC280; record 2	group-compressed	ん……！	ん……！	n……！	ん……！	Ngh...!	Ngh...!			yes	hiragana:1; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
773	TT4	TT4/g5/r3	scenario	group 5 @ 0xC280; record 3	group-compressed	どうしたんだ いったい……	どうしたんだ いったい……	doushitanda ittai……	どうしたんだ いったい……	What happened here...?	What happened here...?			yes	hiragana:10; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
774	TT4	TT4/g5/r4	scenario	group 5 @ 0xC280; record 4	group-compressed	おろおろしている	おろおろしている	orooroshiteiru	おろおろしている	He is in a panic.	He is in a panic.			yes	hiragana:8; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
775	TT4	TT4/g5/r5	scenario	group 5 @ 0xC280; record 5	group-compressed	ぽかんと くちをあけている	ぽかんと くちをあけている	pokanto kuchioaketeiru	ぽかんと くちをあけている	He stares, mouth agape.	He stares, mouth agape.			yes	hiragana:12; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
776	TT4	TT4/g5/r6	scenario	group 5 @ 0xC280; record 6	group-compressed	つりびと「あのな… こんなことしっちょるか！」	つりびと「あのな… こんなことしっちょるか！」	tsuribito「anona… konnakotoshitchoruka！」	つりびと「あのな… こんなことしっちょるか！」	Fisher: Know this one?	Fisher: Know this one?			yes	hiragana:18; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
777	TT4	TT4/g5/r7	scenario	group 5 @ 0xC280; record 7	group-compressed	{CTRL:0}{CTRL:0}ぎりしゃかくちの としを なんとよぶ！	⟦CTRL:0⟧  ⟦CTRL:0⟧ ぎりしゃかくちの としを なんとよぶ！	 /  / girishakakuchino toshio nantoyobu！	ぎりしゃかくちの としを なんとよぶ！	{CTRL:0}{CTRL:0}Name for Greek cities?	⟦CTRL:0⟧  ⟦CTRL:0⟧ Name for Greek cities?	0,0	0,0	yes	hiragana:16; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
778	TT4	TT4/g5/r8	scenario	group 5 @ 0xC280; record 8	group-compressed	つりびと「あほ」	つりびと「あほ」	tsuribito「aho」	つりびと「あほ」	Fisher: Fool.	Fisher: Fool.			yes	hiragana:6; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
779	TT4	TT4/g5/r9	scenario	group 5 @ 0xC280; record 9	group-compressed	つりびと「せいかいじゃ ならばこれはどうだ！」	つりびと「せいかいじゃ ならばこれはどうだ！」	tsuribito「seikaija narabakorehadouda！」	つりびと「せいかいじゃ ならばこれはどうだ！」	Fisher: Right! Next one.	Fisher: Right! Next one.			yes	hiragana:19; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	じゃ: old-person/western-style copula; context decides voice versus region	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
780	TT4	TT4/g5/r10	scenario	group 5 @ 0xC280; record 10	group-compressed	{CTRL:0}{CTRL:0}あてねの らいばるとしは！	⟦CTRL:0⟧  ⟦CTRL:0⟧ あてねの らいばるとしは！	 /  / ateneno raibarutoshiha！	あてねの らいばるとしは！	{CTRL:0}{CTRL:0}Athens' rival city?	⟦CTRL:0⟧  ⟦CTRL:0⟧ Athens' rival city?	0,0	0,0	yes	hiragana:11; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
781	TT4	TT4/g5/r11	scenario	group 5 @ 0xC280; record 11	group-compressed	{CTRL:0}{CTRL:0}ぎりしゃしんわ さいだいのえいゆうは！	⟦CTRL:0⟧  ⟦CTRL:0⟧ ぎりしゃしんわ さいだいのえいゆうは！	 /  / girishashinwa saidainoeiyuuha！	ぎりしゃしんわ さいだいのえいゆうは！	{CTRL:0}{CTRL:0}Greatest Greek hero?	⟦CTRL:0⟧  ⟦CTRL:0⟧ Greatest Greek hero?	0,0	0,0	yes	hiragana:17; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
782	TT4	TT4/g5/r12	scenario	group 5 @ 0xC280; record 12	group-compressed	{CTRL:0}{CTRL:0}ちえのめがみ・あてなに ささげられたしんでんは！	⟦CTRL:0⟧  ⟦CTRL:0⟧ ちえのめがみ・あてなに ささげられたしんでんは！	 /  / chienomegami・atenani sasageraretashindenha！	ちえのめがみ・あてなに ささげられたしんでんは！	{CTRL:0}{CTRL:0}Athena's sacred temple?	⟦CTRL:0⟧  ⟦CTRL:0⟧ Athena's sacred temple?	0,0	0,0	yes	hiragana:21; katakana:1; kanji:0; Latin:0; digits:0		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
783	TT4	TT4/g5/r13	scenario	group 5 @ 0xC280; record 13	group-compressed	{CTRL:0}{CTRL:0}ぎりしゃの3だいさくもつ といえば{CTRL:0}おりーぶ ぶどう と！	⟦CTRL:0⟧  ⟦CTRL:0⟧ ぎりしゃの3だいさくもつ といえば ⟦CTRL:0⟧ おりーぶ ぶどう と！	 /  / girishano3daisakumotsu toieba / oriibu budou to！	ぎりしゃの3だいさくもつ といえばおりーぶ ぶどう と！	{CTRL:0}{CTRL:0}Three great Greek crops:{CTRL:0}olives, grapes, and...?	⟦CTRL:0⟧  ⟦CTRL:0⟧ Three great Greek crops: ⟦CTRL:0⟧ olives, grapes, and...?	0,0,0	0,0,0	yes	hiragana:22; katakana:1; kanji:0; Latin:0; digits:1		Source suppresses normal kanji/katakana distinctions; restore only with context	source numerals ['3']; verify dates/counts and Japanese ordering	medium		
784	TT4	TT4/g5/r14	scenario	group 5 @ 0xC280; record 14	group-compressed	つりびと「せいかいじゃ{CTRL:0} ぜんもんせいかいとは やるもんじゃ」	つりびと「せいかいじゃ ⟦CTRL:0⟧  ぜんもんせいかいとは やるもんじゃ」	tsuribito「seikaija /  zenmonseikaitoha yarumonja」	つりびと「せいかいじゃ ぜんもんせいかいとは やるもんじゃ」	Fisher: Correct.{CTRL:0}All five! Well done.	Fisher: Correct. ⟦CTRL:0⟧ All five! Well done.	0	0	yes	hiragana:26; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	じゃ: old-person/western-style copula; context decides voice versus region	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
785	TT4	TT4/g5/r15	scenario	group 5 @ 0xC280; record 15	group-compressed	つりびと「たにんのふこうに ながすなみだほど{CTRL:0} かわきやすいものはない……{CTRL:2} ぎりしゃの ふるいことわざじゃ」	つりびと「たにんのふこうに ながすなみだほど ⟦CTRL:0⟧  かわきやすいものはない…… ⟦CTRL:2⟧  ぎりしゃの ふるいことわざじゃ」	tsuribito「taninnofukouni nagasunamidahodo /  kawakiyasuimonohanai…… /  girishano furuikotowazaja」	つりびと「たにんのふこうに ながすなみだほど かわきやすいものはない…… ぎりしゃの ふるいことわざじゃ」	Fisher: Tears for others{CTRL:0}dry fastest of all...{CTRL:2}An old Greek proverb.	Fisher: Tears for others ⟦CTRL:0⟧ dry fastest of all... ⟦CTRL:2⟧ An old Greek proverb.	0,2	0,2	yes	hiragana:45; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	じゃ: old-person/western-style copula; context decides voice versus region	Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
786	TT4	TT4/g5/r16	scenario	group 5 @ 0xC280; record 16	group-compressed	つりびと「せきには おおばこじゃな」	つりびと「せきには おおばこじゃな」	tsuribito「sekiniha oobakojana」	つりびと「せきには おおばこじゃな」	Fisher: Cough? Plantain.	Fisher: Cough? Plantain.			yes	hiragana:15; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	じゃ: old-person/western-style copula; context decides voice versus region	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
787	TT4	TT4/g5/r17	scenario	group 5 @ 0xC280; record 17	group-compressed	つりびと「しょくあたりには あまちゃづるじゃ」	つりびと「しょくあたりには あまちゃづるじゃ」	tsuribito「shokuatariniha amachazuruja」	つりびと「しょくあたりには あまちゃづるじゃ」	Fisher: Use jiaogulan.	Fisher: Use jiaogulan.			yes	hiragana:20; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	じゃ: old-person/western-style copula; context decides voice versus region	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
788	TT4	TT4/g5/r18	scenario	group 5 @ 0xC280; record 18	group-compressed	つりびと「ただれにはな どくだみがきくそうじゃ」	つりびと「ただれにはな どくだみがきくそうじゃ」	tsuribito「tadarenihana dokudamigakikusouja」	つりびと「ただれにはな どくだみがきくそうじゃ」	Fisher: Use dokudami.	Fisher: Use dokudami.			yes	hiragana:21; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	じゃ: old-person/western-style copula; context decides voice versus region	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
789	TT4	TT4/g5/r19	scenario	group 5 @ 0xC280; record 19	group-compressed	ぽせいどん「おかどちがいじゃ」	ぽせいどん「おかどちがいじゃ」	poseidon「okadochigaija」	ぽせいどん「おかどちがいじゃ」	Poseidon: Wrong god.	Poseidon: Wrong god.			yes	hiragana:13; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	じゃ: old-person/western-style copula; context decides voice versus region	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
